111111111111010, , 0
1111101100, 	, 9
101010, 
, 10
101011, , 13
00,  , 32
11111110100, !, 33
111101000, ", 34
111111111000, #, 35
11111111111100, %, 37
1111101101, &, 38
111101001, ', 39
11100100, (, 40
11100101, ), 41
1111101110, *, 42
111101010, +, 43
101100, ,, 44
1101100, -, 45
1101101, ., 46
111101011, /, 47
101101, 0, 48
101110, 1, 49
1101110, 2, 50
11100110, 3, 51
11100111, 4, 52
11101000, 5, 53
11101001, 6, 54
11101010, 7, 55
11101011, 8, 56
111101100, 9, 57
11101100, :, 58
11101101, ;, 59
11101110, <, 60
11101111, =, 61
11110000, >, 62
111111111001, ?, 63
111101101, A, 65
11111110101, B, 66
111101110, C, 67
1111101111, D, 68
1111110000, E, 69
1111110001, F, 70
11111110110, G, 71
111101111, H, 72
111110000, I, 73
11111110111, J, 74
1111111111010, K, 75
1111110010, L, 76
1111110011, M, 77
1111110100, N, 78
11111111000, O, 79
1111110101, P, 80
111111111111011, Q, 81
1111110110, R, 82
1111110111, S, 83
111110001, T, 84
11111111001, U, 85
1111111111011, V, 86
111111111010, W, 87
1111111111100, X, 88
1111111111101, Y, 89
11111111010, Z, 90
111110010, [, 91
111111111011, \, 92
111110011, ], 93
1101111, _, 95
01100, a, 97
101111, b, 98
110000, c, 99
01101, d, 100
0100, e, 101
110001, f, 102
110010, g, 103
01110, h, 104
01111, i, 105
1111111000, j, 106
11110001, k, 107
10000, l, 108
110011, m, 109
10001, n, 110
10010, o, 111
110100, p, 112
11111111011, q, 113
10011, r, 114
10100, s, 115
0101, t, 116
110101, u, 117
11110010, v, 118
1110000, w, 119
11110011, x, 120
1110001, y, 121
1111111001, z, 122
111110100, {, 123
111111111100, |, 124
111110101, }, 125
111111111111100, €, 128
111111111111101, ™, 153
111111111111110, ¦, 166
111111111111111, â, 226
0, 000000000,  
1, 100000000, l
2, 010000000, e
3, 110000000, c
4, 001000000,  
5, 101000000, s
6, 011000000, a
7, 111000000, w
8, 000100000,  
9, 100100000, o
10, 010100000, t
11, 110100000, p
12, 001100000,  
13, 101100000, ,
14, 011100000, h
15, 111100000, >
16, 000010000,  
17, 100010000, n
18, 010010000, e
19, 110010000, g
20, 001010000,  
21, 101010000, 

22, 011010000, d
23, 111010000, 5
24, 000110000,  
25, 100110000, r
26, 010110000, t
27, 110110000, -
28, 001110000,  
29, 101110000, 1
30, 011110000, i
31, 111110000, I
32, 000001000,  
33, 100001000, l
34, 010001000, e
35, 110001000, f
36, 001001000,  
37, 101001000, s
38, 011001000, a
39, 111001000, (
40, 000101000,  
41, 100101000, o
42, 010101000, t
43, 110101000, u
44, 001101000,  
45, 101101000, 0
46, 011101000, h
47, 111101000, "
48, 000011000,  
49, 100011000, n
50, 010011000, e
51, 110011000, m
52, 001011000,  
53, 101011000, 
54, 011011000, d
55, 111011000, :
56, 000111000,  
57, 100111000, r
58, 010111000, t
59, 110111000, 2
60, 001111000,  
61, 101111000, b
62, 011111000, i
63, 111111000, 228
64, 000000100,  
65, 100000100, l
66, 010000100, e
67, 110000100, c
68, 001000100,  
69, 101000100, s
70, 011000100, a
71, 111000100, y
72, 000100100,  
73, 100100100, o
74, 010100100, t
75, 110100100, p
76, 001100100,  
77, 101100100, ,
78, 011100100, h
79, 111100100, v
80, 000010100,  
81, 100010100, n
82, 010010100, e
83, 110010100, g
84, 001010100,  
85, 101010100, 

86, 011010100, d
87, 111010100, 7
88, 000110100,  
89, 100110100, r
90, 010110100, t
91, 110110100, .
92, 001110100,  
93, 101110100, 1
94, 011110100, i
95, 111110100, {
96, 000001100,  
97, 100001100, l
98, 010001100, e
99, 110001100, f
100, 001001100,  
101, 101001100, s
102, 011001100, a
103, 111001100, 3
104, 000101100,  
105, 100101100, o
106, 010101100, t
107, 110101100, u
108, 001101100,  
109, 101101100, 0
110, 011101100, h
111, 111101100, 9
112, 000011100,  
113, 100011100, n
114, 010011100, e
115, 110011100, m
116, 001011100,  
117, 101011100, 
118, 011011100, d
119, 111011100, <
120, 000111100,  
121, 100111100, r
122, 010111100, t
123, 110111100, _
124, 001111100,  
125, 101111100, b
126, 011111100, i
127, 111111100, 228
128, 000000010,  
129, 100000010, l
130, 010000010, e
131, 110000010, c
132, 001000010,  
133, 101000010, s
134, 011000010, a
135, 111000010, w
136, 000100010,  
137, 100100010, o
138, 010100010, t
139, 110100010, p
140, 001100010,  
141, 101100010, ,
142, 011100010, h
143, 111100010, k
144, 000010010,  
145, 100010010, n
146, 010010010, e
147, 110010010, g
148, 001010010,  
149, 101010010, 

150, 011010010, d
151, 111010010, 6
152, 000110010,  
153, 100110010, r
154, 010110010, t
155, 110110010, -
156, 001110010,  
157, 101110010, 1
158, 011110010, i
159, 111110010, [
160, 000001010,  
161, 100001010, l
162, 010001010, e
163, 110001010, f
164, 001001010,  
165, 101001010, s
166, 011001010, a
167, 111001010, )
168, 000101010,  
169, 100101010, o
170, 010101010, t
171, 110101010, u
172, 001101010,  
173, 101101010, 0
174, 011101010, h
175, 111101010, +
176, 000011010,  
177, 100011010, n
178, 010011010, e
179, 110011010, m
180, 001011010,  
181, 101011010, 
182, 011011010, d
183, 111011010, ;
184, 000111010,  
185, 100111010, r
186, 010111010, t
187, 110111010, 2
188, 001111010,  
189, 101111010, b
190, 011111010, i
191, 111111010, 228
192, 000000110,  
193, 100000110, l
194, 010000110, e
195, 110000110, c
196, 001000110,  
197, 101000110, s
198, 011000110, a
199, 111000110, y
200, 000100110,  
201, 100100110, o
202, 010100110, t
203, 110100110, p
204, 001100110,  
205, 101100110, ,
206, 011100110, h
207, 111100110, x
208, 000010110,  
209, 100010110, n
210, 010010110, e
211, 110010110, g
212, 001010110,  
213, 101010110, 

214, 011010110, d
215, 111010110, 8
216, 000110110,  
217, 100110110, r
218, 010110110, t
219, 110110110, .
220, 001110110,  
221, 101110110, 1
222, 011110110, i
223, 111110110, 228
224, 000001110,  
225, 100001110, l
226, 010001110, e
227, 110001110, f
228, 001001110,  
229, 101001110, s
230, 011001110, a
231, 111001110, 4
232, 000101110,  
233, 100101110, o
234, 010101110, t
235, 110101110, u
236, 001101110,  
237, 101101110, 0
238, 011101110, h
239, 111101110, C
240, 000011110,  
241, 100011110, n
242, 010011110, e
243, 110011110, m
244, 001011110,  
245, 101011110, 
246, 011011110, d
247, 111011110, =
248, 000111110,  
249, 100111110, r
250, 010111110, t
251, 110111110, _
252, 001111110,  
253, 101111110, b
254, 011111110, i
255, 111111110, 229
256, 000000001,  
257, 100000001, l
258, 010000001, e
259, 110000001, c
260, 001000001,  
261, 101000001, s
262, 011000001, a
263, 111000001, w
264, 000100001,  
265, 100100001, o
266, 010100001, t
267, 110100001, p
268, 001100001,  
269, 101100001, ,
270, 011100001, h
271, 111100001, >
272, 000010001,  
273, 100010001, n
274, 010010001, e
275, 110010001, g
276, 001010001,  
277, 101010001, 

278, 011010001, d
279, 111010001, 5
280, 000110001,  
281, 100110001, r
282, 010110001, t
283, 110110001, -
284, 001110001,  
285, 101110001, 1
286, 011110001, i
287, 111110001, T
288, 000001001,  
289, 100001001, l
290, 010001001, e
291, 110001001, f
292, 001001001,  
293, 101001001, s
294, 011001001, a
295, 111001001, (
296, 000101001,  
297, 100101001, o
298, 010101001, t
299, 110101001, u
300, 001101001,  
301, 101101001, 0
302, 011101001, h
303, 111101001, '
304, 000011001,  
305, 100011001, n
306, 010011001, e
307, 110011001, m
308, 001011001,  
309, 101011001, 
310, 011011001, d
311, 111011001, :
312, 000111001,  
313, 100111001, r
314, 010111001, t
315, 110111001, 2
316, 001111001,  
317, 101111001, b
318, 011111001, i
319, 111111001, 228
320, 000000101,  
321, 100000101, l
322, 010000101, e
323, 110000101, c
324, 001000101,  
325, 101000101, s
326, 011000101, a
327, 111000101, y
328, 000100101,  
329, 100100101, o
330, 010100101, t
331, 110100101, p
332, 001100101,  
333, 101100101, ,
334, 011100101, h
335, 111100101, v
336, 000010101,  
337, 100010101, n
338, 010010101, e
339, 110010101, g
